#NAME Fe/H Fe/H_unc C/Fe C/Fe_unc ra_epoch2000 dec_epoch2000 ra_Gaia dec_Gaia ra_error dec_error pmra pmra_error pmdec pmdec_error parallax parallax_error rv rv_unc Binary phot_g_mean_flux phot_g_mean_flux_error phot_g_mean_mag phot_bp_mean_flux phot_bp_mean_flux_error phot_bp_mean_mag phot_rp_mean_flux phot_rp_mean_flux_error phot_rp_mean_mag bp_rp E_B_V_SandF AV_SandF A_G A_BP A_RP e_BP_RP G_0 err_G BP_0 err_BP RP_0 err_RP T_lit T_lit_unc logg_lit logg_lit_unc D1 dD1 D2 dD2 Area1 Area2 T1 T1_unc logg1 logg1_unc T2 T2_unc logg2 logg2_unc d_gaia d_gaia_unc apo dp_apo dm_apo peri dp_peri dm_peri ell dp_ell dm_ell z_apo dp_z_apo dm_z_apo U dp_U dm_U V dp_V dm_V W dp_W dm_W Vx dp_Vx dm_Vx Vy dp_Vy dm_Vy Vz dp_Vz dm_Vz X dp_X dm_X Y dp_Y dm_Y Z dp_Z dm_Z Lr dp_Lr dm_Lr Lp dp_Lp dm_Lp Lz dp_Lz dm_Lz E dp_E dm_E l dp_l dm_l b dp_b dm_b jp dp_jp dm_jp jr dp_jr dm_jr jz dp_jz dm_jz helioX dp_helioX dm_helioX helioY dp_helioY dm_helioY helioZ dp_helioZ dm_helioZ 
"HE0020-1741" -4.05 "" 1.4 "" 5.6869167 -17.4080944 5.6869904778 -17.4081146625 0.0313527791 0.0212131594 14.423994 0.06425154 -4.5457315 0.04276217 0.1456 0.0384 93.06 0.83 0.0 169242.8961590104 27.011688 12.6170892715 76678.0833949526 67.113785 13.1397104263 133693.9577025833 67.08435 11.9466409683 1.193069458 0.021 0.0654 0.0562 0.0698 0.0426 0.0272 12.5609 1.733E-4 13.0699 9.5E-4 11.904 5.45E-4 4630.0 150.0 0.95 0.3 10.257 0.431 0.0 0.0 100.0 0.0 4774.0 20.0 1.05 0.05 0.0 0.0 0.0 0.0 5.9924 1.4479 295.823382123 0.0 0.0 12.0079873449 0.0 0.0 0.9219833419 0.0 0.0 83.3711374788 0.0 0.0 -428.6701968591 0.0 0.0 -446.3648432484 0.0 0.0 -192.1527372503 0.0 0.0 417.5703370388 0.0 0.0 -195.124162252 0.0 0.0 -184.9040064537 0.0 0.0 7.9090829269 0.0 0.0 1.8398777306 0.0 0.0 -8.8460735508 0.0 0.0 -2066.2834546056 0.0 0.0 -2231.436793527 0.0 0.0 -2311.5315443906 0.0 0.0 63046.1114158906 0.0 0.0 87.1714719575 0.0 0.0 -78.2368230737 0.0 0.0 -2311.5315443906 0.0 0.0 192000.9608260792 0.0 0.0 1521.7318796331 0.0 0.0 0.0909026997 0.0 0.0 1.8398648221 0.0 0.0 -8.8460763834 0.0 0.0 
"SDSSJ0023+0307" -6.6 0.0 3.9 0.0 5.8083436386 3.1328442089 5.8083597781 3.1327843082 0.1125 0.0814 3.743 0.318 -13.912 0.187 0.2697 0.1406 -195.5 1.0 0.0 1659.0100097656 1.47572 17.638742 967.0369873047 6.57758 17.887781 1076.9100341797 5.72484 17.181477 0.706305 0.0281 0.0872 0.0749274728 0.0931243689 0.0568535286 0.0362708404 17.5638145272 9.657824E-4 17.7946566311 0.0073849468 17.1246234714 0.00577176 6140.0 132.0 4.8 0.6 2.7101916319 0.1388455224 11.0306219407 0.7328832407 87.6938041318 12.3061958682 6116.3622385868 66.2354472865 4.6002476831 0.0203624697 6046.9726705891 145.570733914 3.4334350881 0.1003946109 5.048937562 4.6199453071 9.7658040205 0.0 0.0 0.6279108131 0.1262435046 0.1262435046 0.882662728 0.0261372149 0.0392058224 4.511205481 0.354877879 0.354877879 76.7944261423 3.9183503303 5.2244671071 -251.198759464 8.5814254418 12.8721381627 69.2192543393 8.1028234538 5.4018823025 -89.2002083246 5.2244665207 3.9183498905 0.0410696552 8.5814198355 12.8721297533 76.4689828624 8.1028366983 5.4018911322 8.4557833562 0.0393234303 0.0262156202 1.3109801273 0.113106885 0.07540459 -2.37479451 0.1327743308 0.1991614962 105.0569381298 0.0 45.4919203634 -492.3595985687 82.1494119503 41.0747059751 108.2424661427 97.9158966758 65.2772644505 -68950.0250542166 0.0 0.0 109.1710587427 6.66E-8 5.7E-8 -58.9832831882 2.35E-8 2.09E-8 108.2424661427 97.9158966758 65.2772644505 537.265731386 0.0 0.0 140.0224379923 0.0 32.4331878734 -0.46889582 0.0262158804 0.0393238206 1.3109763127 0.1131065559 0.0754043706 -2.3747958198 0.132774404 0.199161606 
"HE0044-3755" -4.19 0.0 -0.3 0.0 11.6508144643 -37.6593210379 11.6508973142 -37.6593534527 0.0299 0.0215 15.234 0.061 -7.529 0.041 0.2152 0.0344 48.29 2.5 0.0 397195.0 118.407 11.690856 186114.0 156.114 12.176943 304783.0 246.555 11.051944 1.124999 0.0104 0.0321 0.0275822456 0.0342808735 0.0209288787 0.0133519948 11.6632737544 3.236666E-4 12.1426621265 9.107247E-4 11.0310151213 8.783091E-4 4800.0 100.0 1.5 0.1 5.6833 0.26 0.0 0.0 100.0 0.0 4860.4 22.47 1.2427 0.0502 0.0 0.0 0.0 0.0 4.2033930324 0.6270367236 21.6791194838 4.8886772618 3.1109764393 4.5073395132 0.7201472931 0.6777856876 0.6607057559 0.0166173235 0.0071217101 17.4162570083 4.4774914605 2.8493127476 -235.954921172 12.031320528 13.4467700019 -397.2449270776 19.3624924818 21.6404327738 -17.9479714555 2.985035833 3.1508711571 224.1475390423 13.4467930506 12.0313411506 -146.0046834856 19.3624842994 21.6404236287 -10.6988918371 2.9850256318 3.1508603891 7.3517223618 0.0322061123 0.0341005895 -0.8252763323 0.0409993197 0.0434110444 -5.6184863746 0.2791236211 0.2955426577 -807.3895894838 146.0387114683 180.4007612255 -1183.7374245613 141.9930940932 167.0506989331 -886.0020774873 119.8874908056 133.9919014886 -35684.6919255722 7092.4105197247 5673.9284157798 308.1500551469 3.66E-8 3.41E-8 -79.4199012067 5.8E-9 6.2E-9 -886.0020774873 119.8874908056 133.9919014886 798.5338633732 215.1056821293 116.51557782 775.6641556506 138.6573763395 117.8587698886 0.644481452 0.0359946627 0.0303112949 -0.8252839817 0.0409996997 0.0434114467 -5.6184860903 0.279123607 0.2955426427
"HE0057-5959" -4.08 0.0 0.86 0.0 14.9749409617 -59.7249294278 14.9749613651 -59.7249747288 0.0205 0.0198 2.389 0.042 -10.522 0.041 0.1982 0.0254 375.64 1.6 0.0 17290.0 6.16554 15.093878 9221.25 21.3833 15.439413 12021.3 13.3176 14.562038 0.877375 0.0162 0.0503 0.0432207766 0.0537173803 0.0327950959 0.0209222843 15.0506572234 3.871689E-4 15.3856956197 0.0025177307 14.5292429041 0.0012028151 5257.0 0.0 2.65 0.0 6.801426356 0.7120573387 0.0 0.0 100.0 0.0 5482.9923283604 42.2859921373 2.6768364771 0.1040348684 0.0 0.0 0.0 0.0 4.4895209241 0.5219955544 31.2497530295 10.1168501613 6.5036893894 8.9467787948 0.4090240798 0.3408533998 0.5550159624 0.0766170191 0.0689553172 22.5615540604 6.2142234032 3.6554255313 205.5295799492 11.7172133583 9.9596313546 -454.1895280763 27.783223976 31.0518385614 -130.303671413 20.3200817849 19.1911883524 -217.2151973533 9.9595790339 11.7171518046 -202.9495321828 27.7832604093 31.0518792809 -123.0540422325 20.3200534059 19.19116155 6.0922769794 0.1790922884 0.2126720925 -3.1807473439 0.2986006428 0.3545882634 -5.7930795152 0.5438398845 0.6458098629 -801.0470032723 285.4751011872 342.5701214246 2005.3890229868 65.1903651115 41.1728621757 -1935.7486611034 228.4525377039 255.3293068455 -20625.1016444587 8452.1655152249 7513.0360135332 300.9540236198 5.4E-9 5.1E-9 -57.3708144645 5.5E-9 5.5E-9 -1935.7486611034 228.4525377039 255.3293068455 849.6844733745 523.3754600701 322.077206197 988.1177733381 69.65471804 18.5745914773 1.8965244507 0.212671498 0.1790917878 -3.1807540782 0.298601275 0.3545890141 -5.7930775739 0.5438397023 0.6458096465
"HE0107-5240" -5.54 0.2 3.85 0.0 17.3714810637 -52.4095009821 17.3714981019 -52.4095170625 0.0183 0.0185 2.414 0.033 -3.735 0.035 0.0789 0.0258 46.0 2.0 1.0 19506.0 6.26308 14.962946 9921.99 17.0613 15.359891 14134.4 13.2977 14.386224 0.973667 0.0111 0.0344 0.029558545 0.0367371372 0.0224284568 0.0143086805 14.933387455 3.486134E-4 15.3231538628 0.0018669714 14.3637955432 0.001021465 5100.0 150.0 2.2 0.3 14.2495122819 0.9754976519 0.0 0.0 100.0 0.0 5140.7911303821 31.8034215755 1.8690817041 0.0713681611 0.0 0.0 0.0 0.0 9.3239513754 2.2682902054 15.8904315096 1.0850881682 0.9042401402 3.0907896941 1.4996160997 1.083056072 0.6664910173 0.0859728224 0.1020927266 14.1620389609 1.3778038254 0.9841455896 12.5195920953 2.0019669676 2.1449646082 -293.1899146016 17.6839908703 19.7644603844 77.1285868124 9.4823119531 8.4841738528 -23.7622080239 2.1449636197 2.0019660451 -41.9500381578 17.6840037741 19.7644748063 84.3781701763 9.4822836835 8.4841485589 5.2562798949 0.1892678144 0.1997826929 -5.4949939488 0.3790567022 0.4001154079 -12.8732900153 0.8880277039 0.9373625763 -1004.8276039867 331.7017249675 414.6271562093 -141.9747006484 30.1727109753 32.0585054112 -350.0654804346 102.3445487004 108.0303569616 -47349.4441274435 4256.0622260221 3404.8497808177 296.5333583876 7.8E-9 6.5E-9 -64.4939517987 4.7E-9 4.9E-9 -350.0654804346 102.3445487004 108.0303569616 600.6297429002 87.8458559765 108.5154691475 858.6892303275 277.3013955436 194.1109768805 2.7331919628 0.1892668959 0.1892668959 -5.4950103048 0.3790578305 0.4001165989 -12.8732858714 0.888027418 0.9373622746
"HE0134-1519" -4.0 0.2 1.0 0.26 24.2724039774 -15.0729979538 24.2725152766 -15.0730449051 0.0192 0.0186 24.961 0.056 -10.905 0.039 0.3454 0.0299 244.0 1.0 0.0 36951.2 10.0632 14.269294 19930.2 40.7327 14.602612 25392.1 56.8945 13.750174 0.852438 0.0159 0.0492 0.0422755906 0.0525426463 0.0320779069 0.0205 14.2270184094 2.956878E-4 14.5500693537 0.0022190004 13.7180960931 0.0024327501 5500.0 100.0 3.2 0.3 3.7497 0.3259 0.0 0.0 100.0 0.0 5572.0 90.0 2.8923 0.0867 0.0 0.0 0.0 0.0 2.6964973635 0.2200982013 69.8780574536 36.7667512331 21.6275007254 4.0318019329 5.8729377576 0.63491219 0.8658952816 0.0213266058 0.0655031464 33.213380804 10.7943721098 6.5965607338 -302.5795341924 21.4980144161 19.3482129745 -415.7134881673 37.1796830087 33.2660321657 -197.2932099501 2.9593262343 3.3539030656 290.4047343324 19.3482499627 21.4980555141 -164.4729154836 37.1796685847 33.26601926 -190.0442408415 2.9592632957 3.3538317351 9.0245299588 0.0833279391 0.0879572691 0.2440355331 0.0198481047 0.0209507772 -3.6740746329 0.3140053974 0.2974787975 -656.2344597029 178.9823642968 178.9823642968 646.8980291512 163.5634663296 173.1848467019 -1562.4549170057 364.0058764168 325.689468373 2420.6760236845 12466.8294558186 11081.6261829499 166.6026226383 1.82E-8 1.95E-8 -73.9361585831 4.7E-9 4.7E-9 -1562.4549170057 364.0058764168 325.689468373 4105.7876535478 2346.0682395456 1466.292649716 298.2884678847 46.7299617248 11.6824904312 -1.0291647757 0.087957738 0.0833283834 0.2440292078 0.0198475903 0.0209502342 -3.6740735199 0.3140053022 0.2974787074
"SDSSJ014036.21+234458.1" -4.0 0.3 1.13 0.3 25.1509195676 23.7495011637 25.1509243612 23.74940874 0.0762 0.0409 1.019 0.176 -21.466 0.091 1.0482 0.0562 -197.0 1.0 1.0 13631.6 7.82457 15.351999 7132.51 22.3853 15.718283 9614.85 25.1223 14.804564 0.913719 0.1136 0.3521 0.3025454586 0.3760216897 0.2295656886 0.1464560011 15.0494535414 6.232173E-4 15.3422613103 0.0034075824 14.5749983114 0.0028368915 5703.0 100.0 4.68 0.3 0.7617281405 0.0221805039 0.0 0.0 100.0 0.0 5963.4219741749 40.5674041879 4.6430781007 0.0104119863 0.0 0.0 0.0 0.0 0.9328246203 0.0491959273 11.4234875941 0.1352803473 0.1642689932 2.508991463 0.1497765723 0.1164928896 0.6369315654 0.0168905509 0.0180165876 2.5541803451 0.2094875445 0.2593655312 133.1723286339 2.8291056481 3.4819761822 -153.7874401993 3.8568583847 3.629984362 61.7156372342 4.4630047185 4.4630047185 -144.4897190988 3.4819697454 2.8291004181 97.4523440303 3.8568649849 3.6299905741 68.9656041622 4.4630055002 4.4630055002 8.4449941647 0.0235998088 0.0254877935 0.4120709227 0.0218537587 0.0236020593 -0.4706924025 0.0269026336 0.0249098459 74.2725067579 1.3633043533 1.7351146315 -518.7763782754 41.313261405 37.5575103682 881.4315727163 27.2858634412 25.5804969761 -61315.2278865281 439.4603197114 439.4603197114 137.2000189661 2.49E-8 2.35E-8 -37.7562748373 1.24E-8 1.17E-8 881.4315727163 27.2858634412 25.5804969761 445.7366428482 21.9977229449 20.6228652609 59.5675151835 9.2634821642 8.3812457676 -0.4459392149 0.025487854 0.0235998648 0.4120698189 0.0218537001 0.0236019961 -0.4706923707 0.0269026318 0.0249098442
"BD+44-493" -4.28 0.2 1.23 0.2 36.7072451683 44.9629239592 36.7079653882 44.9627851991 0.0651 0.0452 118.359 0.141 -32.229 0.105 4.7595 0.066 -150.1399653474 0.629769886 0.0 5417830.0 2590.51 8.853803 2819170.0 4148.43 9.226087 3717710.0 8525.29 8.336231 0.889855 0.0794 0.246 0.2113779658 0.2627132473 0.1603895444 0.1023237028 8.6424250342 5.191397E-4 8.9633737527 0.0015976691 8.1758414556 0.0024897628 5430.0 150.0 3.4 0.3 0.2109599433 0.002818321 0.0 0.0 100.0 0.0 5789.0690797513 19.4467918758 3.224688642 0.0181185512 0.0 0.0 0.0 0.0 0.2089296131 0.0028816665 8.3445524819 0.0306501168 0.011676235 1.5025118267 0.1748931694 0.0456243051 0.6932334457 0.008784373 0.0288629397 1.5134066888 0.018490813 0.0098617669 30.3881899538 2.6814381632 2.6814381632 -184.6310792181 2.9169922246 2.9169922246 51.7746694036 0.4408827008 0.4828715294 -41.5910761533 2.6814407119 2.6814407119 66.608817072 2.9169906678 2.9169906678 59.0244415306 0.4408782616 0.4828666675 8.1568290245 0.0053584048 0.0050127013 0.1309688623 0.0044748361 0.004186137 -0.0537172765 0.0017722556 0.0017722556 11.3132161875 0.2766211169 0.267400413 -479.6090173885 4.4906358018 3.7721340735 548.6877804379 23.6288424513 23.6288424513 -76107.9154098032 287.6169502365 236.8610178418 140.13462376 1.22E-8 1.39E-8 -14.6988889522 1.22E-8 1.22E-8 548.6877804379 23.6288424513 23.6288424513 390.9954318383 10.06658508 9.3723378331 39.3608446624 0.8366406498 0.9960007736 -0.157174927 0.0051855596 0.0051855596 0.1309686377 0.0044748284 0.0041861298 -0.0537172443 0.0017722545 0.0017722545
"HE0233-0343" -4.7 0.2 3.48 0.24 39.1241380137 -3.501674607 39.1243535283 -3.5017202763 0.0452 0.0355 49.962 0.073 -10.607 0.072 0.7925 0.0545 64.0 1.0 0.0 14687.6 7.05156 15.270989 8594.36 21.5953 15.515855 9244.52 17.112 14.847209 0.668646 0.0219 0.0679 0.0583437557 0.0725131281 0.0442701223 0.0282430058 15.2126452443 5.212651E-4 15.4433418719 0.0027281612 14.8029388777 0.0020097439 6300.0 100.0 3.4 0.3 1.089933497 0.0427185635 0.0 0.0 100.0 0.0 6330.6985572864 47.368257218 4.5267513547 0.0176601146 0.0 0.0 0.0 0.0 1.2263092383 0.082764391 11.8839314439 0.4983962219 0.4568632034 0.9656818381 0.3398951392 0.264362886 0.8489437107 0.0408223455 0.0563737152 2.3562190688 0.2336395202 0.3893992003 -175.8167025348 9.822272181 9.0037494992 -210.470471889 14.9308483761 13.064492329 27.4987040992 5.1295866754 5.5959127368 164.3076754269 9.0037695731 9.8222940798 40.7696512707 14.9308474584 13.0644915261 34.7481433022 5.1295536848 5.5958767471 8.620815064 0.037847985 0.04325484 0.062646923 0.003819269 0.0043648789 -0.9116878393 0.0633373159 0.0554201514 39.5704754538 9.5132175146 9.9662278724 -451.1200056237 69.465786514 63.6769709711 343.6228631192 128.5738561564 112.5021241369 -62503.0357924172 1580.4484863254 1317.0404052712 174.237932477 2.08E-8 1.94E-8 -55.5343579952 1.08E-8 1.15E-8 343.6228631192 128.5738561564 112.5021241369 752.7462161478 84.6227557031 88.4692445987 56.5171141606 18.182612812 15.0204192795 -0.6226187124 0.0432549347 0.0378480679 0.0626450103 0.0038191524 0.0043647456 -0.9116870404 0.0633372604 0.0554201028
"BPSCS-22963-0004" -4.09 0.15 0.4 0.23 44.1940476203 -4.8548395233 44.1941414394 -4.8548510034 0.0296 0.0271 21.712 0.058 -2.666 0.059 0.222 0.0364 292.4 0.2 0.0 22470.3 9.35137 14.809345 12075.3 27.1168 15.146645 15481.7 37.5033 14.287371 0.859274 0.0446 0.1382 0.1187497319 0.1475893079 0.090105018 0.05748429 14.6905952681 4.518463E-4 14.9990556921 0.0024381748 14.197265982 0.0026301175 5060.0 42.0 2.15 0.16 4.4688934492 0.4161488043 0.0 0.0 100.0 0.0 5589.439087692 42.3439245699 2.931610617 0.09288789 0.0 0.0 0.0 0.0 4.073802778 0.6240419156 161.0951894961 177.6347503589 56.0951843239 3.1341482646 8.5052693858 1.1191143929 0.9631732715 0.0042621568 0.0101226224 68.1781209627 35.3991990502 28.7618492283 -424.0111829183 21.5814377266 21.5814377266 -361.5729685489 28.1791231322 31.1453466198 -37.077941181 17.1149584925 17.1149584925 411.8837775662 21.5814897099 21.5814897099 -110.3325203031 28.1791277227 31.1453516935 -29.8290759444 17.1148842025 17.1148842025 10.7664707533 0.2420977736 0.2305693082 -0.0881413537 0.0073155855 0.0076813648 -3.6556103678 0.303409572 0.3185800506 -405.3322783292 130.0211640309 158.9147560378 -1203.7010343809 386.6058040156 386.6058040156 -1159.386694837 324.2919999728 358.4279999699 26817.2642015003 13750.1203421012 12500.1094019102 181.8174518479 1.14E-8 1.37E-8 -52.7538240061 7.4E-9 7.9E-9 -1159.386694837 324.2919999728 358.4279999699 8720.3687929482 7782.7462080969 3891.3731040485 427.9854296038 209.2656487435 183.1074426505 -2.7780043692 0.2305697357 0.2420982225 -0.0881493073 0.0073162456 0.0076820579 -3.655606262 0.3034092312 0.3185796928
